CountryCode,CountryZone,GmtStartTms,GmtEndTms,GmtDiff,OffsetMinutes
AU,03,2013-04-06 16:30:00.000,2013-10-05 16:30:00.000,930,570
AU,03,2013-10-05 16:30:00.000,2014-04-05 16:30:00.000,1030,630
AU,03,2014-04-05 16:30:00.000,2014-10-04 16:30:00.000,930,570
AU,03,2014-10-04 16:30:00.000,2015-04-04 16:30:00.000,1030,630
AU,03,2015-04-04 16:30:00.000,2015-10-03 16:30:00.000,930,570
AU,03,2015-10-03 16:30:00.000,2016-04-02 16:30:00.000,1030,630
AU,03,2016-04-02 16:30:00.000,2016-10-01 16:30:00.000,930,570
AU,03,2016-10-01 16:30:00.000,2017-04-01 16:30:00.000,1030,630
AU,03,2017-04-01 16:30:00.000,2017-09-30 16:30:00.000,930,570
AU,03,2017-09-30 16:30:00.000,2018-03-31 16:30:00.000,1030,630
AU,03,2018-03-31 16:30:00.000,2018-10-06 16:30:00.000,930,570
AU,03,2018-10-06 16:30:00.000,2019-04-06 16:30:00.000,1030,630
AU,03,2019-04-06 16:30:00.000,2019-10-05 16:30:00.000,930,570
AU,03,2019-10-05 16:30:00.000,2020-04-04 16:30:00.000,1030,630
AU,03,2020-04-04 16:30:00.000,3000-01-01 00:00:00.000,930,570
AU,04,1901-01-01 00:00:00.000,2007-03-24 17:00:00.000,800,480
AU,04,2007-03-24 17:00:00.000,2007-10-27 18:00:00.000,800,480
AU,04,2007-10-27 18:00:00.000,2008-03-29 18:00:00.000,900,540
AU,04,2008-03-29 18:00:00.000,2008-10-25 18:00:00.000,800,480
AU,04,2008-10-25 18:00:00.000,2009-03-28 18:00:00.000,900,540
AU,04,2009-03-28 18:00:00.000,3000-01-01 00:00:00.000,800,480
AU,1,2000-10-28 15:30:00.000,2001-03-24 15:31:00.000,1100,660
AU,1,2001-03-24 15:31:00.000,2001-10-27 15:30:00.000,1030,630
AU,1,2001-10-27 15:30:00.000,2002-03-30 15:31:00.000,1100,660
AU,1,2002-03-30 15:31:00.000,2002-10-26 15:30:00.000,1030,630
AU,1,2002-10-26 15:30:00.000,2003-03-29 15:31:00.000,1100,660
AU,1,2003-03-29 15:31:00.000,2003-10-25 15:30:00.000,1030,630
AU,1,2003-10-25 15:30:00.000,2004-03-27 15:31:00.000,1100,660
AU,1,2004-03-27 15:31:00.000,2004-10-30 15:30:00.000,1030,630
AU,1,2004-10-30 15:30:00.000,2005-03-26 15:31:00.000,1100,660
AU,1,2005-03-26 15:31:00.000,3000-01-01 00:00:00.000,1030,630
AU,2,2000-08-26 16:00:00.000,2001-03-24 16:01:00.000,1100,660
AU,2,2001-03-24 16:01:00.000,2001-10-27 16:00:00.000,1000,600
AU,2,2001-10-27 16:00:00.000,2002-03-30 16:01:00.000,1100,660
AU,2,2002-03-30 16:01:00.000,2002-10-26 16:00:00.000,1000,600
AU,2,2002-10-26 16:00:00.000,2003-03-29 16:01:00.000,1100,660
AU,2,2003-03-29 16:01:00.000,2003-10-25 16:00:00.000,1000,600
AU,2,2003-10-25 16:00:00.000,2004-03-27 16:01:00.000,1100,660
AU,2,2004-03-27 16:01:00.000,2004-10-30 16:00:00.000,1000,600
AU,2,2004-10-30 16:00:00.000,2005-03-26 16:01:00.000,1100,660
AU,2,2005-03-26 16:01:00.000,3000-01-01 00:00:00.000,1000,600
AU,2A,2000-08-26 16:00:00.000,2001-03-24 16:01:00.000,1100,660
AU,2A,2001-03-24 16:01:00.000,2001-10-06 16:00:00.000,1000,600
AU,2A,2001-10-06 16:00:00.000,2002-03-30 16:01:00.000,1100,660
AU,2A,2002-03-30 16:01:00.000,2002-10-05 16:00:00.000,1000,600
AU,2A,2002-10-05 16:00:00.000,2003-03-29 16:01:00.000,1100,660
AU,2A,2003-03-29 16:01:00.000,2003-10-04 16:00:00.000,1000,600
AU,2A,2003-10-04 16:00:00.000,2004-03-27 16:01:00.000,1100,660
AU,2A,2004-03-27 16:01:00.000,2004-10-02 16:00:00.000,1000,600
AU,2A,2004-10-02 16:00:00.000,2005-03-26 16:00:00.000,1100,660
AU,2A,2005-03-26 16:00:00.000,2005-10-01 16:00:00.000,1000,600
AU,2A,2005-10-01 16:00:00.000,2006-04-01 16:00:00.000,1100,660
AU,2A,2006-04-01 16:00:00.000,2006-09-30 16:00:00.000,1000,600
AU,2A,2006-09-30 16:00:00.000,2007-03-24 16:00:00.000,1100,660
AU,2A,2007-03-24 16:00:00.000,2007-10-06 16:00:00.000,1000,600
AU,2A,2007-10-06 16:00:00.000,2008-03-29 16:00:00.000,1100,660
AU,2A,2008-03-29 16:00:00.000,2008-10-04 16:00:00.000,1000,600
AU,2A,2008-10-04 16:00:00.000,2009-03-28 16:00:00.000,1100,660
AU,2A,2009-03-28 16:00:00.000,2009-04-04 16:00:00.000,1000,600
